"id","disciplina","professor","carga_horaria"
"1","Banco de Dados","Marcos Lima","80"
"2","Programação Web","Juliana Alves","80"
"3","Redes de Computadores","Carlos Souza","60"
"4","Lógica de Programação","Patrícia Gomes","80"
"5","Engenharia de Software","Rafael Melo","60"
"6","Segurança da Informação","André Barros","60"
"7","Sistemas Operacionais","Luciana Freire","60"
"8","Empreendedorismo","Renato Vasconcelos","40"
"9","Fundamentos de Administração","Camila Torres","60"
"10","Projeto Integrador","Fernanda Oliveira","100"
